code,date
601866,2011-01-11
601866,2011-02-09
601866,2013-01-14
601866,2013-09-06
601866,2013-12-13
601866,2014-07-11
601866,2014-07-28
601866,2014-09-18
601866,2014-12-08
601866,2014-12-10
601866,2015-04-01
601866,2017-02-20
601866,2019-03-11
601866,2020-11-26
601866,2021-01-07
601866,2021-04-14
601866,2021-05-17
601866,2022-04-12
601866,2023-02-09
601866,2023-08-01
601868,2023-02-07
601868,2023-02-28
601868,2024-02-29
601869,2020-03-02
601869,2020-03-10
601869,2021-04-22
601869,2021-05-31
601869,2022-06-15
601869,2023-02-07
601869,2023-02-09
601869,2024-03-13
601869,2024-03-15
601872,2007-04-20
601872,2007-04-26
601872,2007-06-27
601872,2008-01-09
601872,2009-07-02
601872,2009-07-03
601872,2009-07-20
601872,2010-10-25
601872,2011-02-10
601872,2011-02-21
601872,2012-03-02
601872,2012-05-04
601872,2013-01-10
601872,2013-02-20
601872,2013-09-06
601872,2013-12-13
601872,2014-07-24
601872,2015-01-05
601872,2015-10-23
601872,2017-02-24
601872,2018-10-15
601872,2019-01-23
601872,2019-02-01
601872,2019-02-11
601872,2019-09-04
601872,2020-08-26
601872,2021-09-28
601872,2022-02-18
601872,2022-04-22
601872,2022-05-24
601872,2023-07-25
601877,2012-02-15
601877,2013-10-08
601877,2014-11-12
601877,2014-11-25
601877,2015-02-02
601877,2015-04-10
601877,2017-10-09
601877,2017-11-20
601877,2018-05-02
601877,2018-05-04
601877,2018-09-04
601877,2018-12-20
601877,2019-02-01
601877,2019-02-18
601877,2020-07-13
601877,2020-12-31
601877,2023-07-06
601878,2017-08-16
601878,2019-01-18
601878,2021-08-31
601878,2021-12-09
601878,2022-08-25
601880,2011-04-20
601880,2012-03-02
601880,2013-09-06
601880,2014-04-25
601880,2014-04-30
601880,2014-09-17
601880,2015-03-09
601880,2015-08-19
601880,2016-07-04
601880,2016-07-19
601880,2017-08-03
601880,2019-01-18
601880,2019-03-11
601880,2022-06-07
601880,2022-11-22
601880,2022-12-05
601881,2018-04-18
601881,2019-01-17
601881,2020-03-02
601881,2022-06-23
601881,2022-11-23
601881,2023-07-19
601881,2023-08-08
601882,2017-03-16
601882,2018-05-28
601882,2019-08-19
601882,2020-07-20
601882,2021-05-12
601882,2021-07-02
601882,2022-06-13
601882,2022-06-17
601882,2022-11-07
601882,2023-03-10
601882,2024-02-29
601882,2024-03-06
601886,2012-05-11
601886,2013-05-02
601886,2014-07-22
601886,2014-07-24
601886,2014-12-08
601886,2014-12-10
601886,2015-06-01
601886,2017-04-13
601886,2020-01-22
601886,2021-03-12
601886,2021-03-26
601886,2021-09-15
601886,2021-12-13
601886,2022-08-23
601888,2010-05-07
601888,2010-07-26
601888,2010-07-29
601888,2010-08-11
601888,2011-08-11
601888,2012-04-25
601888,2012-04-27
601888,2013-05-16
601888,2014-08-15
601888,2016-04-11
601888,2016-07-21
601888,2016-09-13
601888,2017-06-01
601888,2017-09-26
601888,2018-07-25
601888,2020-06-29
601888,2022-11-15
601888,2024-02-29
601890,2011-02-23
601890,2011-11-09
601890,2012-03-07
601890,2012-08-16
601890,2012-08-21
601890,2013-01-23
601890,2013-09-06
601890,2013-12-09
601890,2014-03-31
601890,2014-04-04
601890,2014-04-11
601890,2014-05-26
601890,2014-05-30
601890,2014-07-11
601890,2014-07-21
601890,2014-09-19
601890,2014-12-12
601890,2015-03-09
601890,2015-04-27
601890,2016-12-15
601890,2016-12-21
601890,2020-07-20
601890,2021-08-18
601890,2021-08-25
601890,2021-11-30
601890,2023-05-12
601898,2008-05-08
601898,2008-05-14
601898,2009-04-01
601898,2009-07-15
601898,2009-10-28
601898,2010-08-06
601898,2011-11-14
601898,2012-02-02
601898,2013-12-03
601898,2014-08-13
601898,2014-09-24
601898,2015-01-05
601898,2015-03-26
601898,2015-03-30
601898,2015-04-16
601898,2015-06-23
601898,2017-04-13
601898,2017-07-13
601898,2017-07-18
601898,2018-01-16
601898,2018-08-03
601898,2021-04-15
601898,2021-04-28
601898,2021-09-22
601898,2022-09-05
601898,2023-03-07
601898,2023-09-13
601899,2008-12-01
601899,2010-10-22
601899,2012-09-19
601899,2012-09-21
601899,2014-09-24
601899,2014-12-19
601899,2016-11-09
601899,2017-02-16
601899,2017-02-20
601899,2017-06-28
601899,2017-07-13
601899,2018-10-09
601899,2019-07-02
601899,2019-12-24
601899,2021-08-06
601899,2021-08-09
601899,2021-09-09
601899,2023-01-31
601900,2017-11-16
601900,2019-11-19
601900,2020-11-26
601900,2022-02-23
601900,2022-11-25
601900,2023-02-20
601900,2023-06-09
601901,2012-03-08
601901,2013-01-07
601901,2013-01-25
601901,2014-10-15
601901,2014-12-16
601901,2016-07-12
601901,2016-11-01
601901,2016-11-03
601901,2017-03-06
601901,2019-09-20
601901,2019-12-30
601901,2020-11-06
601901,2021-06-07
601901,2022-06-23
601901,2023-07-28
601901,2023-11-03
601908,2012-03-02
601908,2013-02-25
601908,2013-02-27
601908,2013-11-22
601908,2014-02-14
601908,2014-08-11
601908,2016-04-11
601908,2017-11-20
601908,2019-02-25
601908,2020-09-23
601908,2020-12-01
601908,2022-07-12
601908,2023-07-13
601916,2021-03-03
601916,2021-03-11
601916,2021-12-20
601916,2023-04-25
601916,2024-01-12
